Source	Target
ATTUMA	EEL/LEOPOLD STRYKE
ATTUMA	GREY GARGOYLE/PAUL P
ATTUMA	DUGAN, TIMOTHY ALOYI
DR. STRANGE/STEPHEN	SCARECROW/EBENEZER L
DR. STRANGE/STEPHEN	SUPER SKRULL/KL'RT
DR. STRANGE/STEPHEN	UNICORN/MYLOS MASARY
DR. STRANGE/STEPHEN	MISTER HYDE/CALVIN Z
DR. STRANGE/STEPHEN	MANDARIN
DR. STRANGE/STEPHEN	ELECTRO/MAX DILLON
DR. STRANGE/STEPHEN	BLACK KNIGHT IV/PROF
DR. STRANGE/STEPHEN	WHIRLWIND/DAVID CANN
DR. STRANGE/STEPHEN	MELTER/BRUNO HORGAN
DR. STRANGE/STEPHEN	NELSON, FRANKLIN FOG
DR. STRANGE/STEPHEN	PAGE, KAREN
DR. STRANGE/STEPHEN	GREY GARGOYLE/PAUL P
MIKHLO	SCARECROW/EBENEZER L
MIKHLO	SUPER SKRULL/KL'RT
MIKHLO	UNICORN/MYLOS MASARY
MIKHLO	PORCUPINE/ALEX GENTR
MIKHLO	ICEMAN/ROBERT BOBBY
MIKHLO	SPIDER-MAN/PETER PARKER
MIKHLO	MISTER HYDE/CALVIN Z
MIKHLO	MANDARIN
MIKHLO	DAREDEVIL/MATT MURDO
MIKHLO	ELECTRO/MAX DILLON
MIKHLO	ENCHANTRESS/AMORA/HE
MIKHLO	QUICKSILVER/PIETRO M
MIKHLO	BLACK KNIGHT IV/PROF
MIKHLO	JONES, GABE
MIKHLO	PROFESSOR X/CHARLES
MIKHLO	WHIRLWIND/DAVID CANN
MIKHLO	MELTER/BRUNO HORGAN
MIKHLO	BEETLE/ABNER RONALD
MIKHLO	ANGEL/WARREN KENNETH
MIKHLO	NELSON, FRANKLIN FOG
MIKHLO	PHARAOH RAMA-TUT
MIKHLO	PAGE, KAREN
MIKHLO	EXECUTIONER II/SKURG
MIKHLO	DIABLO/ESTEBAN DE AB
MIKHLO	MARVEL GIRL/JEAN GRE
MIKHLO	PUPPET MASTER/PHILLI
MIKHLO	THINKER
MIKHLO	EEL/LEOPOLD STRYKE
MIKHLO	GREY GARGOYLE/PAUL P
MIKHLO	DUGAN, TIMOTHY ALOYI
DUGAN, TIMOTHY ALOYI	SCARECROW/EBENEZER L
DUGAN, TIMOTHY ALOYI	SUPER SKRULL/KL'RT
DUGAN, TIMOTHY ALOYI	UNICORN/MYLOS MASARY
DUGAN, TIMOTHY ALOYI	MISTER HYDE/CALVIN Z
DUGAN, TIMOTHY ALOYI	RED GHOST/IVAN KRAGO
DUGAN, TIMOTHY ALOYI	IGOR
DUGAN, TIMOTHY ALOYI	MASTERS, ALICIA REIS
DUGAN, TIMOTHY ALOYI	BLACK KNIGHT IV/PROF
DUGAN, TIMOTHY ALOYI	WHIRLWIND/DAVID CANN
DUGAN, TIMOTHY ALOYI	MELTER/BRUNO HORGAN
DUGAN, TIMOTHY ALOYI	NELSON, FRANKLIN FOG
DUGAN, TIMOTHY ALOYI	PHARAOH RAMA-TUT
DUGAN, TIMOTHY ALOYI	EXECUTIONER II/SKURG
DUGAN, TIMOTHY ALOYI	DIABLO/ESTEBAN DE AB
DUGAN, TIMOTHY ALOYI	EEL/LEOPOLD STRYKE
GREY GARGOYLE/PAUL P	SCARECROW/EBENEZER L
GREY GARGOYLE/PAUL P	HAWK
GREY GARGOYLE/PAUL P	SUPER SKRULL/KL'RT
GREY GARGOYLE/PAUL P	MR. FANTASTIC/REED RICHARDS
GREY GARGOYLE/PAUL P	UNICORN/MYLOS MASARY
GREY GARGOYLE/PAUL P	PORCUPINE/ALEX GENTR
GREY GARGOYLE/PAUL P	ICEMAN/ROBERT BOBBY
GREY GARGOYLE/PAUL P	HUMAN TORCH/JOHNNY S
GREY GARGOYLE/PAUL P	MISTER HYDE/CALVIN Z
GREY GARGOYLE/PAUL P	MANDARIN
GREY GARGOYLE/PAUL P	DAREDEVIL/MATT MURDO
GREY GARGOYLE/PAUL P	MOLE MAN/HARVEY RUPE
GREY GARGOYLE/PAUL P	QUICKSILVER/PIETRO M
GREY GARGOYLE/PAUL P	IGOR
GREY GARGOYLE/PAUL P	MASTERS, ALICIA REIS
GREY GARGOYLE/PAUL P	BLACK KNIGHT IV/PROF
GREY GARGOYLE/PAUL P	UATU
GREY GARGOYLE/PAUL P	JONES, GABE
GREY GARGOYLE/PAUL P	PROFESSOR X/CHARLES
GREY GARGOYLE/PAUL P	WHIRLWIND/DAVID CANN
GREY GARGOYLE/PAUL P	MELTER/BRUNO HORGAN
GREY GARGOYLE/PAUL P	BEAST/HENRY &HANK& P
GREY GARGOYLE/PAUL P	BEETLE/ABNER RONALD
GREY GARGOYLE/PAUL P	ANGEL/WARREN KENNETH
GREY GARGOYLE/PAUL P	NELSON, FRANKLIN FOG
GREY GARGOYLE/PAUL P	PHARAOH RAMA-TUT
GREY GARGOYLE/PAUL P	PAGE, KAREN
GREY GARGOYLE/PAUL P	DIABLO/ESTEBAN DE AB
GREY GARGOYLE/PAUL P	MARVEL GIRL/JEAN GRE
GREY GARGOYLE/PAUL P	THING/BEN GRIMM
GREY GARGOYLE/PAUL P	PUPPET MASTER/PHILLI
GREY GARGOYLE/PAUL P	THINKER
GREY GARGOYLE/PAUL P	EEL/LEOPOLD STRYKE
EEL/LEOPOLD STRYKE	HAWK
EEL/LEOPOLD STRYKE	FURY, COL. NICHOLAS
EEL/LEOPOLD STRYKE	SUPER SKRULL/KL'RT
EEL/LEOPOLD STRYKE	SPIDER-MAN/PETER PARKER
EEL/LEOPOLD STRYKE	MISTER HYDE/CALVIN Z
EEL/LEOPOLD STRYKE	MANDARIN
EEL/LEOPOLD STRYKE	ELECTRO/MAX DILLON
EEL/LEOPOLD STRYKE	MOLE MAN/HARVEY RUPE
EEL/LEOPOLD STRYKE	RED GHOST/IVAN KRAGO
EEL/LEOPOLD STRYKE	DR. DOOM/VICTOR VON
EEL/LEOPOLD STRYKE	ENCHANTRESS/AMORA/HE
EEL/LEOPOLD STRYKE	QUICKSILVER/PIETRO M
EEL/LEOPOLD STRYKE	IGOR
EEL/LEOPOLD STRYKE	MASTERS, ALICIA REIS
EEL/LEOPOLD STRYKE	BLACK KNIGHT IV/PROF
EEL/LEOPOLD STRYKE	UATU
EEL/LEOPOLD STRYKE	JONES, GABE
EEL/LEOPOLD STRYKE	WHIRLWIND/DAVID CANN
EEL/LEOPOLD STRYKE	MELTER/BRUNO HORGAN
EEL/LEOPOLD STRYKE	BEETLE/ABNER RONALD
EEL/LEOPOLD STRYKE	PHARAOH RAMA-TUT
EEL/LEOPOLD STRYKE	EXECUTIONER II/SKURG
EEL/LEOPOLD STRYKE	IRON MAN/TONY STARK
EEL/LEOPOLD STRYKE	DIABLO/ESTEBAN DE AB
EEL/LEOPOLD STRYKE	PUPPET MASTER/PHILLI
EEL/LEOPOLD STRYKE	THINKER
THINKER	SCARECROW/EBENEZER L
THINKER	SUPER SKRULL/KL'RT
THINKER	UNICORN/MYLOS MASARY
THINKER	PORCUPINE/ALEX GENTR
THINKER	MISTER HYDE/CALVIN Z
THINKER	MANDARIN
THINKER	ELECTRO/MAX DILLON
THINKER	RED GHOST/IVAN KRAGO
THINKER	QUICKSILVER/PIETRO M
THINKER	IGOR
THINKER	BLACK KNIGHT IV/PROF
THINKER	UATU
THINKER	JONES, GABE
THINKER	WHIRLWIND/DAVID CANN
THINKER	PAGE, KAREN
THINKER	EXECUTIONER II/SKURG
THINKER	DIABLO/ESTEBAN DE AB
PUPPET MASTER/PHILLI	SCARECROW/EBENEZER L
PUPPET MASTER/PHILLI	SUPER SKRULL/KL'RT
PUPPET MASTER/PHILLI	UNICORN/MYLOS MASARY
PUPPET MASTER/PHILLI	PORCUPINE/ALEX GENTR
PUPPET MASTER/PHILLI	MISTER HYDE/CALVIN Z
PUPPET MASTER/PHILLI	MANDARIN
PUPPET MASTER/PHILLI	ELECTRO/MAX DILLON
PUPPET MASTER/PHILLI	MOLE MAN/HARVEY RUPE
PUPPET MASTER/PHILLI	RED GHOST/IVAN KRAGO
PUPPET MASTER/PHILLI	ENCHANTRESS/AMORA/HE
PUPPET MASTER/PHILLI	IGOR
PUPPET MASTER/PHILLI	BLACK KNIGHT IV/PROF
PUPPET MASTER/PHILLI	JONES, GABE
PUPPET MASTER/PHILLI	WHIRLWIND/DAVID CANN
PUPPET MASTER/PHILLI	MELTER/BRUNO HORGAN
PUPPET MASTER/PHILLI	BEETLE/ABNER RONALD
PUPPET MASTER/PHILLI	NELSON, FRANKLIN FOG
PUPPET MASTER/PHILLI	PHARAOH RAMA-TUT
PUPPET MASTER/PHILLI	PAGE, KAREN
PUPPET MASTER/PHILLI	EXECUTIONER II/SKURG
PUPPET MASTER/PHILLI	DIABLO/ESTEBAN DE AB
THING/BEN GRIMM	SCARECROW/EBENEZER L
THING/BEN GRIMM	UNICORN/MYLOS MASARY
THING/BEN GRIMM	PORCUPINE/ALEX GENTR
THING/BEN GRIMM	MISTER HYDE/CALVIN Z
THING/BEN GRIMM	BLACK KNIGHT IV/PROF
THING/BEN GRIMM	PAGE, KAREN
THING/BEN GRIMM	EXECUTIONER II/SKURG
CAPTAIN AMERICA	PAGE, KAREN
MARVEL GIRL/JEAN GRE	SUPER SKRULL/KL'RT
MARVEL GIRL/JEAN GRE	MISTER HYDE/CALVIN Z
MARVEL GIRL/JEAN GRE	MANDARIN
MARVEL GIRL/JEAN GRE	ELECTRO/MAX DILLON
MARVEL GIRL/JEAN GRE	RED GHOST/IVAN KRAGO
MARVEL GIRL/JEAN GRE	ENCHANTRESS/AMORA/HE
MARVEL GIRL/JEAN GRE	IGOR
MARVEL GIRL/JEAN GRE	BLACK KNIGHT IV/PROF
MARVEL GIRL/JEAN GRE	WHIRLWIND/DAVID CANN
MARVEL GIRL/JEAN GRE	MELTER/BRUNO HORGAN
MARVEL GIRL/JEAN GRE	NELSON, FRANKLIN FOG
MARVEL GIRL/JEAN GRE	PAGE, KAREN
MARVEL GIRL/JEAN GRE	EXECUTIONER II/SKURG
MARVEL GIRL/JEAN GRE	DIABLO/ESTEBAN DE AB
DIABLO/ESTEBAN DE AB	SCARECROW/EBENEZER L
DIABLO/ESTEBAN DE AB	FURY, COL. NICHOLAS
DIABLO/ESTEBAN DE AB	SUPER SKRULL/KL'RT
DIABLO/ESTEBAN DE AB	UNICORN/MYLOS MASARY
DIABLO/ESTEBAN DE AB	PORCUPINE/ALEX GENTR
DIABLO/ESTEBAN DE AB	ICEMAN/ROBERT BOBBY
DIABLO/ESTEBAN DE AB	MISTER HYDE/CALVIN Z
DIABLO/ESTEBAN DE AB	MANDARIN
DIABLO/ESTEBAN DE AB	DAREDEVIL/MATT MURDO
DIABLO/ESTEBAN DE AB	MOLE MAN/HARVEY RUPE
DIABLO/ESTEBAN DE AB	RED GHOST/IVAN KRAGO
DIABLO/ESTEBAN DE AB	DR. DOOM/VICTOR VON
DIABLO/ESTEBAN DE AB	ENCHANTRESS/AMORA/HE
DIABLO/ESTEBAN DE AB	IGOR
DIABLO/ESTEBAN DE AB	BLACK KNIGHT IV/PROF
DIABLO/ESTEBAN DE AB	UATU
DIABLO/ESTEBAN DE AB	JONES, GABE
DIABLO/ESTEBAN DE AB	PROFESSOR X/CHARLES
DIABLO/ESTEBAN DE AB	MELTER/BRUNO HORGAN
DIABLO/ESTEBAN DE AB	BEAST/HENRY &HANK& P
DIABLO/ESTEBAN DE AB	BEETLE/ABNER RONALD
DIABLO/ESTEBAN DE AB	ANGEL/WARREN KENNETH
DIABLO/ESTEBAN DE AB	NELSON, FRANKLIN FOG
DIABLO/ESTEBAN DE AB	PHARAOH RAMA-TUT
DIABLO/ESTEBAN DE AB	PAGE, KAREN
DIABLO/ESTEBAN DE AB	EXECUTIONER II/SKURG
IRON MAN/TONY STARK	SCARECROW/EBENEZER L
IRON MAN/TONY STARK	SUPER SKRULL/KL'RT
IRON MAN/TONY STARK	PAGE, KAREN
EXECUTIONER II/SKURG	SCARECROW/EBENEZER L
EXECUTIONER II/SKURG	SUPER SKRULL/KL'RT
EXECUTIONER II/SKURG	UNICORN/MYLOS MASARY
EXECUTIONER II/SKURG	PORCUPINE/ALEX GENTR
EXECUTIONER II/SKURG	ICEMAN/ROBERT BOBBY
EXECUTIONER II/SKURG	SPIDER-MAN/PETER PARKER
EXECUTIONER II/SKURG	MISTER HYDE/CALVIN Z
EXECUTIONER II/SKURG	ELECTRO/MAX DILLON
EXECUTIONER II/SKURG	MOLE MAN/HARVEY RUPE
EXECUTIONER II/SKURG	RED GHOST/IVAN KRAGO
EXECUTIONER II/SKURG	DR. DOOM/VICTOR VON
EXECUTIONER II/SKURG	IGOR
EXECUTIONER II/SKURG	MASTERS, ALICIA REIS
EXECUTIONER II/SKURG	BLACK KNIGHT IV/PROF
EXECUTIONER II/SKURG	UATU
EXECUTIONER II/SKURG	JONES, GABE
EXECUTIONER II/SKURG	PROFESSOR X/CHARLES
EXECUTIONER II/SKURG	BEAST/HENRY &HANK& P
EXECUTIONER II/SKURG	BEETLE/ABNER RONALD
EXECUTIONER II/SKURG	ANGEL/WARREN KENNETH
EXECUTIONER II/SKURG	NELSON, FRANKLIN FOG
EXECUTIONER II/SKURG	PHARAOH RAMA-TUT
EXECUTIONER II/SKURG	PAGE, KAREN
PAGE, KAREN	SCARECROW/EBENEZER L
PAGE, KAREN	HAWK
PAGE, KAREN	SUPER SKRULL/KL'RT
PAGE, KAREN	MR. FANTASTIC/REED RICHARDS
PAGE, KAREN	UNICORN/MYLOS MASARY
PAGE, KAREN	PORCUPINE/ALEX GENTR
PAGE, KAREN	ICEMAN/ROBERT BOBBY
PAGE, KAREN	MANDARIN
PAGE, KAREN	MOLE MAN/HARVEY RUPE
PAGE, KAREN	RED GHOST/IVAN KRAGO
PAGE, KAREN	DR. DOOM/VICTOR VON
PAGE, KAREN	ENCHANTRESS/AMORA/HE
PAGE, KAREN	QUICKSILVER/PIETRO M
PAGE, KAREN	IGOR
PAGE, KAREN	MASTERS, ALICIA REIS
PAGE, KAREN	BLACK KNIGHT IV/PROF
PAGE, KAREN	UATU
PAGE, KAREN	JONES, GABE
PAGE, KAREN	PROFESSOR X/CHARLES
PAGE, KAREN	WHIRLWIND/DAVID CANN
PAGE, KAREN	MELTER/BRUNO HORGAN
PAGE, KAREN	BEAST/HENRY &HANK& P
PAGE, KAREN	BEETLE/ABNER RONALD
PAGE, KAREN	ANGEL/WARREN KENNETH
PAGE, KAREN	PHARAOH RAMA-TUT
PHARAOH RAMA-TUT	SCARECROW/EBENEZER L
PHARAOH RAMA-TUT	FURY, COL. NICHOLAS
PHARAOH RAMA-TUT	SUPER SKRULL/KL'RT
PHARAOH RAMA-TUT	UNICORN/MYLOS MASARY
PHARAOH RAMA-TUT	PORCUPINE/ALEX GENTR
PHARAOH RAMA-TUT	MISTER HYDE/CALVIN Z
PHARAOH RAMA-TUT	MANDARIN
PHARAOH RAMA-TUT	ELECTRO/MAX DILLON
PHARAOH RAMA-TUT	RED GHOST/IVAN KRAGO
PHARAOH RAMA-TUT	IGOR
PHARAOH RAMA-TUT	JONES, GABE
PHARAOH RAMA-TUT	WHIRLWIND/DAVID CANN
PHARAOH RAMA-TUT	MELTER/BRUNO HORGAN
PHARAOH RAMA-TUT	NELSON, FRANKLIN FOG
NELSON, FRANKLIN FOG	SCARECROW/EBENEZER L
NELSON, FRANKLIN FOG	HAWK
NELSON, FRANKLIN FOG	FURY, COL. NICHOLAS
NELSON, FRANKLIN FOG	SUPER SKRULL/KL'RT
NELSON, FRANKLIN FOG	UNICORN/MYLOS MASARY
NELSON, FRANKLIN FOG	PORCUPINE/ALEX GENTR
NELSON, FRANKLIN FOG	ICEMAN/ROBERT BOBBY
NELSON, FRANKLIN FOG	HUMAN TORCH/JOHNNY S
NELSON, FRANKLIN FOG	RED GHOST/IVAN KRAGO
NELSON, FRANKLIN FOG	DR. DOOM/VICTOR VON
NELSON, FRANKLIN FOG	ENCHANTRESS/AMORA/HE
NELSON, FRANKLIN FOG	QUICKSILVER/PIETRO M
NELSON, FRANKLIN FOG	IGOR
NELSON, FRANKLIN FOG	MASTERS, ALICIA REIS
NELSON, FRANKLIN FOG	BLACK KNIGHT IV/PROF
NELSON, FRANKLIN FOG	UATU
NELSON, FRANKLIN FOG	JONES, GABE
NELSON, FRANKLIN FOG	PROFESSOR X/CHARLES
NELSON, FRANKLIN FOG	WHIRLWIND/DAVID CANN
NELSON, FRANKLIN FOG	MELTER/BRUNO HORGAN
NELSON, FRANKLIN FOG	BEETLE/ABNER RONALD
ANGEL/WARREN KENNETH	SUPER SKRULL/KL'RT
ANGEL/WARREN KENNETH	MISTER HYDE/CALVIN Z
ANGEL/WARREN KENNETH	ELECTRO/MAX DILLON
ANGEL/WARREN KENNETH	RED GHOST/IVAN KRAGO
ANGEL/WARREN KENNETH	ENCHANTRESS/AMORA/HE
ANGEL/WARREN KENNETH	IGOR
ANGEL/WARREN KENNETH	BLACK KNIGHT IV/PROF
ANGEL/WARREN KENNETH	WHIRLWIND/DAVID CANN
ANGEL/WARREN KENNETH	MELTER/BRUNO HORGAN
BEETLE/ABNER RONALD	SCARECROW/EBENEZER L
BEETLE/ABNER RONALD	FURY, COL. NICHOLAS
BEETLE/ABNER RONALD	SUPER SKRULL/KL'RT
BEETLE/ABNER RONALD	UNICORN/MYLOS MASARY
BEETLE/ABNER RONALD	MISTER HYDE/CALVIN Z
BEETLE/ABNER RONALD	MANDARIN
BEETLE/ABNER RONALD	RED GHOST/IVAN KRAGO
BEETLE/ABNER RONALD	IGOR
BEETLE/ABNER RONALD	BLACK KNIGHT IV/PROF
BEETLE/ABNER RONALD	JONES, GABE
BEAST/HENRY &HANK& P	SUPER SKRULL/KL'RT
BEAST/HENRY &HANK& P	MISTER HYDE/CALVIN Z
BEAST/HENRY &HANK& P	MANDARIN
BEAST/HENRY &HANK& P	ELECTRO/MAX DILLON
BEAST/HENRY &HANK& P	BLACK KNIGHT IV/PROF
BEAST/HENRY &HANK& P	MELTER/BRUNO HORGAN
MELTER/BRUNO HORGAN	SCARECROW/EBENEZER L
MELTER/BRUNO HORGAN	FURY, COL. NICHOLAS
MELTER/BRUNO HORGAN	SUPER SKRULL/KL'RT
MELTER/BRUNO HORGAN	UNICORN/MYLOS MASARY
MELTER/BRUNO HORGAN	PORCUPINE/ALEX GENTR
MELTER/BRUNO HORGAN	ICEMAN/ROBERT BOBBY
MELTER/BRUNO HORGAN	MISTER HYDE/CALVIN Z
MELTER/BRUNO HORGAN	MANDARIN
MELTER/BRUNO HORGAN	RED GHOST/IVAN KRAGO
MELTER/BRUNO HORGAN	IGOR
MELTER/BRUNO HORGAN	UATU
MELTER/BRUNO HORGAN	JONES, GABE
MELTER/BRUNO HORGAN	PROFESSOR X/CHARLES
WHIRLWIND/DAVID CANN	SCARECROW/EBENEZER L
WHIRLWIND/DAVID CANN	FURY, COL. NICHOLAS
WHIRLWIND/DAVID CANN	SUPER SKRULL/KL'RT
WHIRLWIND/DAVID CANN	UNICORN/MYLOS MASARY
WHIRLWIND/DAVID CANN	ICEMAN/ROBERT BOBBY
WHIRLWIND/DAVID CANN	MISTER HYDE/CALVIN Z
WHIRLWIND/DAVID CANN	MANDARIN
WHIRLWIND/DAVID CANN	DAREDEVIL/MATT MURDO
WHIRLWIND/DAVID CANN	MOLE MAN/HARVEY RUPE
WHIRLWIND/DAVID CANN	RED GHOST/IVAN KRAGO
WHIRLWIND/DAVID CANN	IGOR
WHIRLWIND/DAVID CANN	MASTERS, ALICIA REIS
WHIRLWIND/DAVID CANN	UATU
WHIRLWIND/DAVID CANN	JONES, GABE
WHIRLWIND/DAVID CANN	PROFESSOR X/CHARLES
PROFESSOR X/CHARLES	SUPER SKRULL/KL'RT
PROFESSOR X/CHARLES	MISTER HYDE/CALVIN Z
PROFESSOR X/CHARLES	MANDARIN
PROFESSOR X/CHARLES	ELECTRO/MAX DILLON
PROFESSOR X/CHARLES	RED GHOST/IVAN KRAGO
PROFESSOR X/CHARLES	IGOR
PROFESSOR X/CHARLES	BLACK KNIGHT IV/PROF
JONES, GABE	SCARECROW/EBENEZER L
JONES, GABE	SUPER SKRULL/KL'RT
JONES, GABE	UNICORN/MYLOS MASARY
JONES, GABE	PORCUPINE/ALEX GENTR
JONES, GABE	MISTER HYDE/CALVIN Z
JONES, GABE	ELECTRO/MAX DILLON
JONES, GABE	MOLE MAN/HARVEY RUPE
JONES, GABE	RED GHOST/IVAN KRAGO
JONES, GABE	ENCHANTRESS/AMORA/HE
JONES, GABE	QUICKSILVER/PIETRO M
JONES, GABE	IGOR
JONES, GABE	MASTERS, ALICIA REIS
JONES, GABE	BLACK KNIGHT IV/PROF
JONES, GABE	UATU
UATU	SCARECROW/EBENEZER L
UATU	SUPER SKRULL/KL'RT
UATU	UNICORN/MYLOS MASARY
UATU	PORCUPINE/ALEX GENTR
UATU	MISTER HYDE/CALVIN Z
UATU	MANDARIN
UATU	ELECTRO/MAX DILLON
UATU	BLACK KNIGHT IV/PROF
BLACK KNIGHT IV/PROF	SCARECROW/EBENEZER L
BLACK KNIGHT IV/PROF	FURY, COL. NICHOLAS
BLACK KNIGHT IV/PROF	SUPER SKRULL/KL'RT
BLACK KNIGHT IV/PROF	MR. FANTASTIC/REED RICHARDS
BLACK KNIGHT IV/PROF	UNICORN/MYLOS MASARY
BLACK KNIGHT IV/PROF	PORCUPINE/ALEX GENTR
BLACK KNIGHT IV/PROF	ICEMAN/ROBERT BOBBY
BLACK KNIGHT IV/PROF	SPIDER-MAN/PETER PARKER
BLACK KNIGHT IV/PROF	HUMAN TORCH/JOHNNY S
BLACK KNIGHT IV/PROF	MISTER HYDE/CALVIN Z
BLACK KNIGHT IV/PROF	MANDARIN
BLACK KNIGHT IV/PROF	DAREDEVIL/MATT MURDO
BLACK KNIGHT IV/PROF	ELECTRO/MAX DILLON
BLACK KNIGHT IV/PROF	MOLE MAN/HARVEY RUPE
BLACK KNIGHT IV/PROF	RED GHOST/IVAN KRAGO
BLACK KNIGHT IV/PROF	DR. DOOM/VICTOR VON
BLACK KNIGHT IV/PROF	ENCHANTRESS/AMORA/HE
BLACK KNIGHT IV/PROF	IGOR
BLACK KNIGHT IV/PROF	MASTERS, ALICIA REIS
MASTERS, ALICIA REIS	SCARECROW/EBENEZER L
MASTERS, ALICIA REIS	UNICORN/MYLOS MASARY
MASTERS, ALICIA REIS	PORCUPINE/ALEX GENTR
MASTERS, ALICIA REIS	MISTER HYDE/CALVIN Z
MASTERS, ALICIA REIS	MANDARIN
MASTERS, ALICIA REIS	ELECTRO/MAX DILLON
MASTERS, ALICIA REIS	ENCHANTRESS/AMORA/HE
IGOR	SCARECROW/EBENEZER L
IGOR	SUPER SKRULL/KL'RT
IGOR	UNICORN/MYLOS MASARY
IGOR	PORCUPINE/ALEX GENTR
IGOR	ICEMAN/ROBERT BOBBY
IGOR	SPIDER-MAN/PETER PARKER
IGOR	MISTER HYDE/CALVIN Z
IGOR	MANDARIN
IGOR	DAREDEVIL/MATT MURDO
IGOR	ELECTRO/MAX DILLON
IGOR	ENCHANTRESS/AMORA/HE
IGOR	QUICKSILVER/PIETRO M
QUICKSILVER/PIETRO M	SCARECROW/EBENEZER L
QUICKSILVER/PIETRO M	SUPER SKRULL/KL'RT
QUICKSILVER/PIETRO M	UNICORN/MYLOS MASARY
QUICKSILVER/PIETRO M	PORCUPINE/ALEX GENTR
QUICKSILVER/PIETRO M	MISTER HYDE/CALVIN Z
QUICKSILVER/PIETRO M	ELECTRO/MAX DILLON
QUICKSILVER/PIETRO M	RED GHOST/IVAN KRAGO
ENCHANTRESS/AMORA/HE	SCARECROW/EBENEZER L
ENCHANTRESS/AMORA/HE	SUPER SKRULL/KL'RT
ENCHANTRESS/AMORA/HE	UNICORN/MYLOS MASARY
ENCHANTRESS/AMORA/HE	PORCUPINE/ALEX GENTR
ENCHANTRESS/AMORA/HE	MISTER HYDE/CALVIN Z
ENCHANTRESS/AMORA/HE	ELECTRO/MAX DILLON
ENCHANTRESS/AMORA/HE	MOLE MAN/HARVEY RUPE
ENCHANTRESS/AMORA/HE	RED GHOST/IVAN KRAGO
DR. DOOM/VICTOR VON	SCARECROW/EBENEZER L
DR. DOOM/VICTOR VON	SUPER SKRULL/KL'RT
DR. DOOM/VICTOR VON	UNICORN/MYLOS MASARY
DR. DOOM/VICTOR VON	PORCUPINE/ALEX GENTR
DR. DOOM/VICTOR VON	MISTER HYDE/CALVIN Z
DR. DOOM/VICTOR VON	ELECTRO/MAX DILLON
RED GHOST/IVAN KRAGO	SCARECROW/EBENEZER L
RED GHOST/IVAN KRAGO	SUPER SKRULL/KL'RT
RED GHOST/IVAN KRAGO	UNICORN/MYLOS MASARY
RED GHOST/IVAN KRAGO	PORCUPINE/ALEX GENTR
RED GHOST/IVAN KRAGO	ICEMAN/ROBERT BOBBY
RED GHOST/IVAN KRAGO	SPIDER-MAN/PETER PARKER
RED GHOST/IVAN KRAGO	MISTER HYDE/CALVIN Z
RED GHOST/IVAN KRAGO	MANDARIN
RED GHOST/IVAN KRAGO	DAREDEVIL/MATT MURDO
RED GHOST/IVAN KRAGO	ELECTRO/MAX DILLON
MOLE MAN/HARVEY RUPE	SCARECROW/EBENEZER L
MOLE MAN/HARVEY RUPE	SUPER SKRULL/KL'RT
MOLE MAN/HARVEY RUPE	UNICORN/MYLOS MASARY
MOLE MAN/HARVEY RUPE	PORCUPINE/ALEX GENTR
MOLE MAN/HARVEY RUPE	MISTER HYDE/CALVIN Z
MOLE MAN/HARVEY RUPE	MANDARIN
MOLE MAN/HARVEY RUPE	ELECTRO/MAX DILLON
ELECTRO/MAX DILLON	SCARECROW/EBENEZER L
ELECTRO/MAX DILLON	HAWK
ELECTRO/MAX DILLON	UNICORN/MYLOS MASARY
ELECTRO/MAX DILLON	ICEMAN/ROBERT BOBBY
ELECTRO/MAX DILLON	MISTER HYDE/CALVIN Z
ELECTRO/MAX DILLON	MANDARIN
DAREDEVIL/MATT MURDO	SCARECROW/EBENEZER L
DAREDEVIL/MATT MURDO	UNICORN/MYLOS MASARY
DAREDEVIL/MATT MURDO	PORCUPINE/ALEX GENTR
DAREDEVIL/MATT MURDO	MANDARIN
MANDARIN	SCARECROW/EBENEZER L
MANDARIN	SUPER SKRULL/KL'RT
MANDARIN	PORCUPINE/ALEX GENTR
MANDARIN	ICEMAN/ROBERT BOBBY
MANDARIN	HUMAN TORCH/JOHNNY S
MANDARIN	MISTER HYDE/CALVIN Z
MISTER HYDE/CALVIN Z	SCARECROW/EBENEZER L
MISTER HYDE/CALVIN Z	HAWK
MISTER HYDE/CALVIN Z	SUPER SKRULL/KL'RT
MISTER HYDE/CALVIN Z	MR. FANTASTIC/REED RICHARDS
MISTER HYDE/CALVIN Z	UNICORN/MYLOS MASARY
MISTER HYDE/CALVIN Z	PORCUPINE/ALEX GENTR
MISTER HYDE/CALVIN Z	ICEMAN/ROBERT BOBBY
MISTER HYDE/CALVIN Z	HUMAN TORCH/JOHNNY S
HUMAN TORCH/JOHNNY S	SCARECROW/EBENEZER L
HUMAN TORCH/JOHNNY S	UNICORN/MYLOS MASARY
HUMAN TORCH/JOHNNY S	PORCUPINE/ALEX GENTR
SPIDER-MAN/PETER PARKER	SCARECROW/EBENEZER L
SPIDER-MAN/PETER PARKER	UNICORN/MYLOS MASARY
ICEMAN/ROBERT BOBBY	SUPER SKRULL/KL'RT
PORCUPINE/ALEX GENTR	HAWK
PORCUPINE/ALEX GENTR	SUPER SKRULL/KL'RT
PORCUPINE/ALEX GENTR	MR. FANTASTIC/REED RICHARDS
UNICORN/MYLOS MASARY	HAWK
UNICORN/MYLOS MASARY	FURY, COL. NICHOLAS
